Drug 1,Drug 2,Interaction Description
Rimexolone,Rosoxacin,The risk or severity of adverse effects can be increased when Rimexolone is combined with Rosoxacin.
Betamethasone,Rosoxacin,The risk or severity of adverse effects can be increased when Betamethasone is combined with Rosoxacin.
Deflazacort,Rosoxacin,The risk or severity of adverse effects can be increased when Deflazacort is combined with Rosoxacin.
Desonide,Rosoxacin,The risk or severity of adverse effects can be increased when Desonide is combined with Rosoxacin.
Amcinonide,Rosoxacin,The risk or severity of adverse effects can be increased when Amcinonide is combined with Rosoxacin.
Estrone sulfate,Rosoxacin,The risk or severity of adverse effects can be increased when Estrone sulfate is combined with Rosoxacin.
Equilin,Rosoxacin,The risk or severity of adverse effects can be increased when Equilin is combined with Rosoxacin.
Ulobetasol,Rosoxacin,The risk or severity of adverse effects can be increased when Ulobetasol is combined with Rosoxacin.
Loteprednol,Rosoxacin,The risk or severity of adverse effects can be increased when Loteprednol is combined with Rosoxacin.
Halcinonide,Rosoxacin,The risk or severity of adverse effects can be increased when Halcinonide is combined with Rosoxacin.
Fluocortolone,Rosoxacin,The risk or severity of adverse effects can be increased when Fluocortolone is combined with Rosoxacin.
Flurandrenolide,Rosoxacin,The risk or severity of adverse effects can be increased when Flurandrenolide is combined with Rosoxacin.
Budesonide,Rosoxacin,The risk or severity of adverse effects can be increased when Budesonide is combined with Rosoxacin.
Difluocortolone,Rosoxacin,The risk or severity of adverse effects can be increased when Difluocortolone is combined with Rosoxacin.
Medrysone,Rosoxacin,The risk or severity of adverse effects can be increased when Medrysone is combined with Rosoxacin.
Clocortolone,Rosoxacin,The risk or severity of adverse effects can be increased when Clocortolone is combined with Rosoxacin.
Hydrocortisone,Rosoxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Rosoxacin.
Fluorometholone,Rosoxacin,The risk or severity of adverse effects can be increased when Fluorometholone is combined with Rosoxacin.
Clobetasone,Rosoxacin,The risk or severity of adverse effects can be increased when Clobetasone is combined with Rosoxacin.
Fenbufen,Rosoxacin,Fenbufen may increase the neuroexcitatory activities of Rosoxacin.
Meclofenamic acid,Rosoxacin,Meclofenamic acid may increase the neuroexcitatory activities of Rosoxacin.
Lumiracoxib,Rosoxacin,Lumiracoxib may increase the neuroexcitatory activities of Rosoxacin.
Tolmetin,Rosoxacin,Tolmetin may increase the neuroexcitatory activities of Rosoxacin.
Tenoxicam,Rosoxacin,Tenoxicam may increase the neuroexcitatory activities of Rosoxacin.
Choline magnesium trisalicylate,Rosoxacin,Choline magnesium trisalicylate may increase the neuroexcitatory activities of Rosoxacin.
Etoricoxib,Rosoxacin,Etoricoxib may increase the neuroexcitatory activities of Rosoxacin.
Suprofen,Rosoxacin,Suprofen may increase the neuroexcitatory activities of Rosoxacin.
Flurbiprofen,Rosoxacin,Flurbiprofen may increase the neuroexcitatory activities of Rosoxacin.
Indomethacin,Rosoxacin,Indomethacin may increase the neuroexcitatory activities of Rosoxacin.
Oxyphenbutazone,Rosoxacin,Oxyphenbutazone may increase the neuroexcitatory activities of Rosoxacin.
Icatibant,Rosoxacin,Icatibant may increase the neuroexcitatory activities of Rosoxacin.
Alclofenac,Rosoxacin,Alclofenac may increase the neuroexcitatory activities of Rosoxacin.
Etodolac,Rosoxacin,Etodolac may increase the neuroexcitatory activities of Rosoxacin.
Droxicam,Rosoxacin,Droxicam may increase the neuroexcitatory activities of Rosoxacin.
Apremilast,Rosoxacin,Apremilast may increase the neuroexcitatory activities of Rosoxacin.
Tolfenamic acid,Rosoxacin,Tolfenamic acid may increase the neuroexcitatory activities of Rosoxacin.
Lornoxicam,Rosoxacin,Lornoxicam may increase the neuroexcitatory activities of Rosoxacin.
Bromfenac,Rosoxacin,Bromfenac may increase the neuroexcitatory activities of Rosoxacin.
Propacetamol,Rosoxacin,Propacetamol may increase the neuroexcitatory activities of Rosoxacin.
Parecoxib,Rosoxacin,Parecoxib may increase the neuroexcitatory activities of Rosoxacin.
Phenylbutazone,Rosoxacin,Phenylbutazone may increase the neuroexcitatory activities of Rosoxacin.
Acemetacin,Rosoxacin,Acemetacin may increase the neuroexcitatory activities of Rosoxacin.
Teriflunomide,Rosoxacin,Teriflunomide may increase the neuroexcitatory activities of Rosoxacin.
Nabumetone,Rosoxacin,Nabumetone may increase the neuroexcitatory activities of Rosoxacin.
Epirizole,Rosoxacin,Epirizole may increase the neuroexcitatory activities of Rosoxacin.
Ketorolac,Rosoxacin,Ketorolac may increase the neuroexcitatory activities of Rosoxacin.
Salsalate,Rosoxacin,Salsalate may increase the neuroexcitatory activities of Rosoxacin.
Aceclofenac,Rosoxacin,Aceclofenac may increase the neuroexcitatory activities of Rosoxacin.
Niflumic acid,Rosoxacin,Niflumic acid may increase the neuroexcitatory activities of Rosoxacin.
Zaltoprofen,Rosoxacin,Zaltoprofen may increase the neuroexcitatory activities of Rosoxacin.
Naproxen,Rosoxacin,Naproxen may increase the neuroexcitatory activities of Rosoxacin.
Pimecrolimus,Rosoxacin,Pimecrolimus may increase the neuroexcitatory activities of Rosoxacin.
Antipyrine,Rosoxacin,Antipyrine may increase the neuroexcitatory activities of Rosoxacin.
Meloxicam,Rosoxacin,Meloxicam may increase the neuroexcitatory activities of Rosoxacin.
Clonixin,Rosoxacin,Clonixin may increase the neuroexcitatory activities of Rosoxacin.
Piroxicam,Rosoxacin,Piroxicam may increase the neuroexcitatory activities of Rosoxacin.
Fenoprofen,Rosoxacin,Fenoprofen may increase the neuroexcitatory activities of Rosoxacin.
Oxaprozin,Rosoxacin,Oxaprozin may increase the neuroexcitatory activities of Rosoxacin.
Salicylamide,Rosoxacin,Salicylamide may increase the neuroexcitatory activities of Rosoxacin.
Loxoprofen,Rosoxacin,Loxoprofen may increase the neuroexcitatory activities of Rosoxacin.
Zileuton,Rosoxacin,Zileuton may increase the neuroexcitatory activities of Rosoxacin.
Floctafenine,Rosoxacin,Floctafenine may increase the neuroexcitatory activities of Rosoxacin.
Ibuprofen,Rosoxacin,Ibuprofen may increase the neuroexcitatory activities of Rosoxacin.
Etofenamate,Rosoxacin,Etofenamate may increase the neuroexcitatory activities of Rosoxacin.
Diclofenac,Rosoxacin,Diclofenac may increase the neuroexcitatory activities of Rosoxacin.
Nepafenac,Rosoxacin,Nepafenac may increase the neuroexcitatory activities of Rosoxacin.
Sulfasalazine,Rosoxacin,Sulfasalazine may increase the neuroexcitatory activities of Rosoxacin.
Benzydamine,Rosoxacin,Benzydamine may increase the neuroexcitatory activities of Rosoxacin.
Ketoprofen,Rosoxacin,Ketoprofen may increase the neuroexcitatory activities of Rosoxacin.
Mefenamic acid,Rosoxacin,Mefenamic acid may increase the neuroexcitatory activities of Rosoxacin.
Adapalene,Rosoxacin,Adapalene may increase the neuroexcitatory activities of Rosoxacin.
Magnesium salicylate,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Magnesium salicylate.
Quinapril,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Quinapril.
Theophylline,Rosoxacin,The metabolism of Rosoxacin can be decreased when combined with Theophylline.
Dyphylline,Rosoxacin,The metabolism of Rosoxacin can be decreased when combined with Dyphylline.
Aminophylline,Rosoxacin,The metabolism of Rosoxacin can be decreased when combined with Aminophylline.
Varenicline,Rosoxacin,The serum concentration of Rosoxacin can be increased when it is combined with Varenicline.
Iron sucrose,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Iron sucrose.
Iron,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Iron.
Ferric pyrophosphate,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Ferric pyrophosphate.
Lanthanum carbonate,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Lanthanum carbonate.
Strontium ranelate,Rosoxacin,The serum concentration of Rosoxacin can be decreased when it is combined with Strontium ranelate.
Tiaprofenic acid,Levofloxacin,Tiaprofenic acid may increase the neuroexcitatory activities of Levofloxacin.
Carprofen,Levofloxacin,Carprofen may increase the neuroexcitatory activities of Levofloxacin.
Cyclophosphamide,Levofloxacin,Cyclophosphamide may increase the cardiotoxic activities of Levofloxacin.
Paclitaxel,Levofloxacin,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Levofloxacin.
Docetaxel,Levofloxacin,The risk or severity of adverse effects can be increased when Docetaxel is combined with Levofloxacin.
Cabazitaxel,Levofloxacin,The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Levofloxacin.
Rifaximin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Rifaximin.
Lumacaftor,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Lumacaftor.
Silodosin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Silodosin.
Edoxaban,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Edoxaban.
Anagrelide,Levofloxacin,Anagrelide may increase the QTc-prolonging activities of Levofloxacin.
Acarbose,Levofloxacin,Acarbose may increase the hypoglycemic activities of Levofloxacin.
Crizotinib,Levofloxacin,Crizotinib may increase the QTc-prolonging activities of Levofloxacin.
Prednisolone,Levofloxacin,The risk or severity of adverse effects can be increased when Prednisolone is combined with Levofloxacin.
Panobinostat,Levofloxacin,Panobinostat may increase the QTc-prolonging activities of Levofloxacin.
Nilotinib,Levofloxacin,Nilotinib may increase the QTc-prolonging activities of Levofloxacin.
Dexamethasone,Levofloxacin,The risk or severity of adverse effects can be increased when Dexamethasone is combined with Levofloxacin.
Cabergoline,Levofloxacin,The risk or severity of adverse effects can be increased when Cabergoline is combined with Levofloxacin.
Pazopanib,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Pazopanib.
Gemifloxacin,Levofloxacin,Gemifloxacin may increase the QTc-prolonging activities of Levofloxacin.
Lenvatinib,Levofloxacin,Lenvatinib may increase the QTc-prolonging activities of Levofloxacin.
Ofloxacin,Levofloxacin,Ofloxacin may increase the QTc-prolonging activities of Levofloxacin.
Toremifene,Levofloxacin,Toremifene may increase the QTc-prolonging activities of Levofloxacin.
Arsenic trioxide,Levofloxacin,Arsenic trioxide may increase the QTc-prolonging activities of Levofloxacin.
Doxorubicin,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Doxorubicin.
Prednisone,Levofloxacin,The risk or severity of adverse effects can be increased when Prednisone is combined with Levofloxacin.
Methylprednisolone,Levofloxacin,The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Levofloxacin.
Formestane,Levofloxacin,The risk or severity of adverse effects can be increased when Formestane is combined with Levofloxacin.
Vincristine,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Vincristine.
Everolimus,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Everolimus.
Ibrutinib,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Ibrutinib.
Topotecan,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Topotecan.
Colchicine,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Colchicine.
Naloxegol,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Naloxegol.
Bosutinib,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Bosutinib.
Nintedanib,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Nintedanib.
Ledipasvir,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Ledipasvir.
Prucalopride,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Prucalopride.
Sucralfate,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Sucralfate.
Mesalazine,Levofloxacin,Mesalazine may increase the neuroexcitatory activities of Levofloxacin.
Balsalazide,Levofloxacin,Balsalazide may increase the neuroexcitatory activities of Levofloxacin.
Olsalazine,Levofloxacin,Olsalazine may increase the neuroexcitatory activities of Levofloxacin.
Resveratrol,Levofloxacin,Resveratrol may increase the neuroexcitatory activities of Levofloxacin.
Vandetanib,Levofloxacin,Vandetanib may increase the QTc-prolonging activities of Levofloxacin.
Sotalol,Levofloxacin,Sotalol may increase the QTc-prolonging activities of Levofloxacin.
Masoprocol,Levofloxacin,Masoprocol may increase the neuroexcitatory activities of Levofloxacin.
Sulindac,Levofloxacin,Sulindac may increase the neuroexcitatory activities of Levofloxacin.
Pirfenidone,Levofloxacin,Pirfenidone may increase the neuroexcitatory activities of Levofloxacin.
Mycophenolate mofetil,Levofloxacin,Mycophenolate mofetil may increase the neuroexcitatory activities of Levofloxacin.
Leflunomide,Levofloxacin,Leflunomide may increase the neuroexcitatory activities of Levofloxacin.
Afatinib,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Afatinib.
Ceritinib,Levofloxacin,Ceritinib may increase the QTc-prolonging activities of Levofloxacin.
Warfarin,Levofloxacin,Warfarin may increase the anticoagulant activities of Levofloxacin.
Phenprocoumon,Levofloxacin,Phenprocoumon may increase the anticoagulant activities of Levofloxacin.
Phenindione,Levofloxacin,Phenindione may increase the anticoagulant activities of Levofloxacin.
Acenocoumarol,Levofloxacin,Acenocoumarol may increase the anticoagulant activities of Levofloxacin.
Dicoumarol,Levofloxacin,Dicoumarol may increase the anticoagulant activities of Levofloxacin.
Nafamostat,Levofloxacin,Nafamostat may increase the neuroexcitatory activities of Levofloxacin.
Rosiglitazone,Levofloxacin,Rosiglitazone may increase the hypoglycemic activities of Levofloxacin.
Nimesulide,Levofloxacin,Nimesulide may increase the neuroexcitatory activities of Levofloxacin.
Acetylsalicylic acid,Levofloxacin,Acetylsalicylic acid may increase the neuroexcitatory activities of Levofloxacin.
Diflunisal,Levofloxacin,Diflunisal may increase the neuroexcitatory activities of Levofloxacin.
Azelastine,Levofloxacin,Azelastine may increase the neuroexcitatory activities of Levofloxacin.
Tranilast,Levofloxacin,Tranilast may increase the neuroexcitatory activities of Levofloxacin.
Chlorpropamide,Levofloxacin,Chlorpropamide may increase the hypoglycemic activities of Levofloxacin.
Canagliflozin,Levofloxacin,Canagliflozin may increase the hypoglycemic activities of Levofloxacin.
Glipizide,Levofloxacin,Glipizide may increase the hypoglycemic activities of Levofloxacin.
Disopyramide,Levofloxacin,Disopyramide may increase the hypoglycemic activities of Levofloxacin.
Tolbutamide,Levofloxacin,Tolbutamide may increase the hypoglycemic activities of Levofloxacin.
Miglitol,Levofloxacin,Miglitol may increase the hypoglycemic activities of Levofloxacin.
Sitagliptin,Levofloxacin,Sitagliptin may increase the hypoglycemic activities of Levofloxacin.
Dapagliflozin,Levofloxacin,Dapagliflozin may increase the hypoglycemic activities of Levofloxacin.
Alogliptin,Levofloxacin,Alogliptin may increase the hypoglycemic activities of Levofloxacin.
Saxagliptin,Levofloxacin,Saxagliptin may increase the hypoglycemic activities of Levofloxacin.
Sulfadiazine,Levofloxacin,Sulfadiazine may increase the hypoglycemic activities of Levofloxacin.
Nateglinide,Levofloxacin,Nateglinide may increase the hypoglycemic activities of Levofloxacin.
Gliclazide,Levofloxacin,Gliclazide may increase the hypoglycemic activities of Levofloxacin.
Pioglitazone,Levofloxacin,Pioglitazone may increase the hypoglycemic activities of Levofloxacin.
Quinine,Levofloxacin,Quinine may increase the hypoglycemic activities of Levofloxacin.
Metformin,Levofloxacin,Metformin may increase the hypoglycemic activities of Levofloxacin.
Tolazamide,Levofloxacin,Tolazamide may increase the hypoglycemic activities of Levofloxacin.
Glimepiride,Levofloxacin,Glimepiride may increase the hypoglycemic activities of Levofloxacin.
Empagliflozin,Levofloxacin,Empagliflozin may increase the hypoglycemic activities of Levofloxacin.
Repaglinide,Levofloxacin,Repaglinide may increase the hypoglycemic activities of Levofloxacin.
Glyburide,Levofloxacin,Glyburide may increase the hypoglycemic activities of Levofloxacin.
Bromocriptine,Levofloxacin,Bromocriptine may increase the hypoglycemic activities of Levofloxacin.
Seratrodast,Levofloxacin,Seratrodast may increase the neuroexcitatory activities of Levofloxacin.
Celecoxib,Levofloxacin,Celecoxib may increase the neuroexcitatory activities of Levofloxacin.
Salicylic acid,Levofloxacin,Salicylic acid may increase the neuroexcitatory activities of Levofloxacin.
Naftifine,Levofloxacin,Naftifine may increase the neuroexcitatory activities of Levofloxacin.
Fluticasone propionate,Levofloxacin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Levofloxacin.
Magnesium sulfate,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Magnesium sulfate.
Olopatadine,Levofloxacin,Olopatadine may increase the neuroexcitatory activities of Levofloxacin.
Fluticasone furoate,Levofloxacin,The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Levofloxacin.
Prasterone,Levofloxacin,The risk or severity of adverse effects can be increased when Prasterone is combined with Levofloxacin.
Diflorasone,Levofloxacin,The risk or severity of adverse effects can be increased when Diflorasone is combined with Levofloxacin.
Flumethasone,Levofloxacin,The risk or severity of adverse effects can be increased when Flumethasone is combined with Levofloxacin.
Desoximetasone,Levofloxacin,The risk or severity of adverse effects can be increased when Desoximetasone is combined with Levofloxacin.
Mometasone,Levofloxacin,The risk or severity of adverse effects can be increased when Mometasone is combined with Levofloxacin.
Clobetasol propionate,Levofloxacin,The risk or severity of adverse effects can be increased when Clobetasol propionate is combined with Levofloxacin.
Estrone,Levofloxacin,The risk or severity of adverse effects can be increased when Estrone is combined with Levofloxacin.
Difluprednate,Levofloxacin,The risk or severity of adverse effects can be increased when Difluprednate is combined with Levofloxacin.
Fluprednidene,Levofloxacin,The risk or severity of adverse effects can be increased when Fluprednidene is combined with Levofloxacin.
Beclomethasone dipropionate,Levofloxacin,The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Levofloxacin.
Tixocortol,Levofloxacin,The risk or severity of adverse effects can be increased when Tixocortol is combined with Levofloxacin.
Fluocinonide,Levofloxacin,The risk or severity of adverse effects can be increased when Fluocinonide is combined with Levofloxacin.
Ciclesonide,Levofloxacin,The risk or severity of adverse effects can be increased when Ciclesonide is combined with Levofloxacin.
Cortisone acetate,Levofloxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Levofloxacin.
Alclometasone,Levofloxacin,The risk or severity of adverse effects can be increased when Alclometasone is combined with Levofloxacin.
Fludrocortisone,Levofloxacin,The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Levofloxacin.
Flunisolide,Levofloxacin,The risk or severity of adverse effects can be increased when Flunisolide is combined with Levofloxacin.
Triamcinolone,Levofloxacin,The risk or severity of adverse effects can be increased when Triamcinolone is combined with Levofloxacin.
Fluocinolone acetonide,Levofloxacin,The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Levofloxacin.
Paramethasone,Levofloxacin,The risk or severity of adverse effects can be increased when Paramethasone is combined with Levofloxacin.
Prednicarbate,Levofloxacin,The risk or severity of adverse effects can be increased when Prednicarbate is combined with Levofloxacin.
Rimexolone,Levofloxacin,The risk or severity of adverse effects can be increased when Rimexolone is combined with Levofloxacin.
Betamethasone,Levofloxacin,The risk or severity of adverse effects can be increased when Betamethasone is combined with Levofloxacin.
Deflazacort,Levofloxacin,The risk or severity of adverse effects can be increased when Deflazacort is combined with Levofloxacin.
Desonide,Levofloxacin,The risk or severity of adverse effects can be increased when Desonide is combined with Levofloxacin.
Amcinonide,Levofloxacin,The risk or severity of adverse effects can be increased when Amcinonide is combined with Levofloxacin.
Estrone sulfate,Levofloxacin,The risk or severity of adverse effects can be increased when Estrone sulfate is combined with Levofloxacin.
Equilin,Levofloxacin,The risk or severity of adverse effects can be increased when Equilin is combined with Levofloxacin.
Ulobetasol,Levofloxacin,The risk or severity of adverse effects can be increased when Ulobetasol is combined with Levofloxacin.
Loteprednol,Levofloxacin,The risk or severity of adverse effects can be increased when Loteprednol is combined with Levofloxacin.
Halcinonide,Levofloxacin,The risk or severity of adverse effects can be increased when Halcinonide is combined with Levofloxacin.
Fluocortolone,Levofloxacin,The risk or severity of adverse effects can be increased when Fluocortolone is combined with Levofloxacin.
Flurandrenolide,Levofloxacin,The risk or severity of adverse effects can be increased when Flurandrenolide is combined with Levofloxacin.
Budesonide,Levofloxacin,The risk or severity of adverse effects can be increased when Budesonide is combined with Levofloxacin.
Difluocortolone,Levofloxacin,The risk or severity of adverse effects can be increased when Difluocortolone is combined with Levofloxacin.
Medrysone,Levofloxacin,The risk or severity of adverse effects can be increased when Medrysone is combined with Levofloxacin.
Clocortolone,Levofloxacin,The risk or severity of adverse effects can be increased when Clocortolone is combined with Levofloxacin.
Hydrocortisone,Levofloxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Levofloxacin.
Fluorometholone,Levofloxacin,The risk or severity of adverse effects can be increased when Fluorometholone is combined with Levofloxacin.
Clobetasone,Levofloxacin,The risk or severity of adverse effects can be increased when Clobetasone is combined with Levofloxacin.
Fenbufen,Levofloxacin,Fenbufen may increase the neuroexcitatory activities of Levofloxacin.
Meclofenamic acid,Levofloxacin,Meclofenamic acid may increase the neuroexcitatory activities of Levofloxacin.
Lumiracoxib,Levofloxacin,Lumiracoxib may increase the neuroexcitatory activities of Levofloxacin.
Tolmetin,Levofloxacin,Tolmetin may increase the neuroexcitatory activities of Levofloxacin.
Tenoxicam,Levofloxacin,Tenoxicam may increase the neuroexcitatory activities of Levofloxacin.
Choline magnesium trisalicylate,Levofloxacin,Choline magnesium trisalicylate may increase the neuroexcitatory activities of Levofloxacin.
Etoricoxib,Levofloxacin,Etoricoxib may increase the neuroexcitatory activities of Levofloxacin.
Suprofen,Levofloxacin,Suprofen may increase the neuroexcitatory activities of Levofloxacin.
Flurbiprofen,Levofloxacin,Flurbiprofen may increase the neuroexcitatory activities of Levofloxacin.
Indomethacin,Levofloxacin,Indomethacin may increase the neuroexcitatory activities of Levofloxacin.
Oxyphenbutazone,Levofloxacin,Oxyphenbutazone may increase the neuroexcitatory activities of Levofloxacin.
Icatibant,Levofloxacin,Icatibant may increase the neuroexcitatory activities of Levofloxacin.
Alclofenac,Levofloxacin,Alclofenac may increase the neuroexcitatory activities of Levofloxacin.
Etodolac,Levofloxacin,Etodolac may increase the neuroexcitatory activities of Levofloxacin.
Droxicam,Levofloxacin,Droxicam may increase the neuroexcitatory activities of Levofloxacin.
Apremilast,Levofloxacin,Apremilast may increase the neuroexcitatory activities of Levofloxacin.
Tolfenamic acid,Levofloxacin,Tolfenamic acid may increase the neuroexcitatory activities of Levofloxacin.
Lornoxicam,Levofloxacin,Lornoxicam may increase the neuroexcitatory activities of Levofloxacin.
Bromfenac,Levofloxacin,Bromfenac may increase the neuroexcitatory activities of Levofloxacin.
Propacetamol,Levofloxacin,Propacetamol may increase the neuroexcitatory activities of Levofloxacin.
Parecoxib,Levofloxacin,Parecoxib may increase the neuroexcitatory activities of Levofloxacin.
Phenylbutazone,Levofloxacin,Phenylbutazone may increase the neuroexcitatory activities of Levofloxacin.
Acemetacin,Levofloxacin,Acemetacin may increase the neuroexcitatory activities of Levofloxacin.
Nabumetone,Levofloxacin,Nabumetone may increase the neuroexcitatory activities of Levofloxacin.
Epirizole,Levofloxacin,Epirizole may increase the neuroexcitatory activities of Levofloxacin.
Ketorolac,Levofloxacin,Ketorolac may increase the neuroexcitatory activities of Levofloxacin.
Salsalate,Levofloxacin,Salsalate may increase the neuroexcitatory activities of Levofloxacin.
Aceclofenac,Levofloxacin,Aceclofenac may increase the neuroexcitatory activities of Levofloxacin.
Niflumic acid,Levofloxacin,Niflumic acid may increase the neuroexcitatory activities of Levofloxacin.
Zaltoprofen,Levofloxacin,Zaltoprofen may increase the neuroexcitatory activities of Levofloxacin.
Naproxen,Levofloxacin,Naproxen may increase the neuroexcitatory activities of Levofloxacin.
Pimecrolimus,Levofloxacin,Pimecrolimus may increase the neuroexcitatory activities of Levofloxacin.
Antipyrine,Levofloxacin,Antipyrine may increase the neuroexcitatory activities of Levofloxacin.
Meloxicam,Levofloxacin,Meloxicam may increase the neuroexcitatory activities of Levofloxacin.
Clonixin,Levofloxacin,Clonixin may increase the neuroexcitatory activities of Levofloxacin.
Piroxicam,Levofloxacin,Piroxicam may increase the neuroexcitatory activities of Levofloxacin.
Fenoprofen,Levofloxacin,Fenoprofen may increase the neuroexcitatory activities of Levofloxacin.
Oxaprozin,Levofloxacin,Oxaprozin may increase the neuroexcitatory activities of Levofloxacin.
Salicylamide,Levofloxacin,Salicylamide may increase the neuroexcitatory activities of Levofloxacin.
Loxoprofen,Levofloxacin,Loxoprofen may increase the neuroexcitatory activities of Levofloxacin.
Zileuton,Levofloxacin,Zileuton may increase the neuroexcitatory activities of Levofloxacin.
Floctafenine,Levofloxacin,Floctafenine may increase the neuroexcitatory activities of Levofloxacin.
Ibuprofen,Levofloxacin,Ibuprofen may increase the neuroexcitatory activities of Levofloxacin.
Etofenamate,Levofloxacin,Etofenamate may increase the neuroexcitatory activities of Levofloxacin.
Diclofenac,Levofloxacin,Diclofenac may increase the neuroexcitatory activities of Levofloxacin.
Nepafenac,Levofloxacin,Nepafenac may increase the neuroexcitatory activities of Levofloxacin.
Sulfasalazine,Levofloxacin,Sulfasalazine may increase the neuroexcitatory activities of Levofloxacin.
Benzydamine,Levofloxacin,Benzydamine may increase the neuroexcitatory activities of Levofloxacin.
Ketoprofen,Levofloxacin,Ketoprofen may increase the neuroexcitatory activities of Levofloxacin.
Mefenamic acid,Levofloxacin,Mefenamic acid may increase the neuroexcitatory activities of Levofloxacin.
Adapalene,Levofloxacin,Adapalene may increase the neuroexcitatory activities of Levofloxacin.
Magnesium salicylate,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Magnesium salicylate.
Quinapril,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Quinapril.
Ribociclib,Levofloxacin,The risk or severity of QTc prolongation can be increased when Ribociclib is combined with Levofloxacin.
Theophylline,Levofloxacin,The metabolism of Levofloxacin can be decreased when combined with Theophylline.
Dyphylline,Levofloxacin,The metabolism of Levofloxacin can be decreased when combined with Dyphylline.
Aminophylline,Levofloxacin,The metabolism of Levofloxacin can be decreased when combined with Aminophylline.
Varenicline,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Varenicline.
Iron sucrose,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Iron sucrose.
Iron,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Iron.
Ferric pyrophosphate,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Ferric pyrophosphate.
Lanthanum carbonate,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Lanthanum carbonate.
Strontium ranelate,Levofloxacin,The serum concentration of Levofloxacin can be decreased when it is combined with Strontium ranelate.
Quinidine,Levofloxacin,Quinidine may increase the QTc-prolonging activities of Levofloxacin.
Lopinavir,Levofloxacin,Lopinavir may increase the QTc-prolonging activities of Levofloxacin.
Ubidecarenone,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Ubidecarenone.
Ranolazine,Levofloxacin,The serum concentration of Levofloxacin can be increased when it is combined with Ranolazine.
Citalopram,Levofloxacin,Citalopram may increase the QTc-prolonging activities of Levofloxacin.
Amiodarone,Levofloxacin,Amiodarone may increase the QTc-prolonging activities of Levofloxacin.
Clarithromycin,Levofloxacin,Clarithromycin may increase the QTc-prolonging activities of Levofloxacin.
Ziprasidone,Levofloxacin,Ziprasidone may increase the QTc-prolonging activities of Levofloxacin.
Dronedarone,Levofloxacin,Dronedarone may increase the QTc-prolonging activities of Levofloxacin.
Lumefantrine,Levofloxacin,Lumefantrine may increase the QTc-prolonging activities of Levofloxacin.
Fluoxetine,Levofloxacin,Fluoxetine may increase the QTc-prolonging activities of Levofloxacin.
Artemether,Levofloxacin,Artemether may increase the QTc-prolonging activities of Levofloxacin.
Eliglustat,Levofloxacin,Eliglustat may increase the QTc-prolonging activities of Levofloxacin.
Saquinavir,Levofloxacin,Saquinavir may increase the QTc-prolonging activities of Levofloxacin.
